,Route,Direction,Stop,Max,Min
0,41C,2,3752,563.0,-495.0
0,111,2,3222,1122.0,-109.0
0,161,2,2950,37.0,-358.0
0,41D,2,1636,28.0,-122.0
0,123,2,4518,1111.0,-483.0
0,14,1,616,620.0,-45.0
0,31A,1,541,357.0,-50.0
0,37,2,1705,188.0,-63.0
0,53,2,2278,1071.0,-254.0
0,27B,1,669,491.0,-692.0
0,63,1,3278,692.0,-1261.0
0,45A,2,3547,90.0,-36.0
0,25D,2,7120,2024.0,-97.0
0,66B,1,2200,183.0,-34.0
0,61,1,2955,1103.0,-360.0
0,16,1,212,313.0,-96.0
0,63,2,2039,3017.0,-564.0
0,47,2,388,1392.0,-244.0
0,7D,2,3239,15.0,-14.0
0,15A,1,1094,160.0,-34.0
0,151,1,6146,1059.0,-47.0
0,83,1,2481,454.0,-69.0
0,25B,1,2215,506.0,-31.0
0,150,1,1279,2218.0,-155.0
0,67,1,3947,425.0,-105.0
0,161,1,4334,25.0,-8.0
0,40,2,1995,1174.0,-1675.0
0,83,2,138,1484.0,-20.0
0,18,2,2211,691.0,-167.0
0,63,2,2028,334.0,-54.0
0,17A,2,130,187.0,-23.0
0,123,2,1937,728.0,-100.0
0,40,1,1937,779.0,-101.0
0,116,2,2969,62.0,-242.0
0,151,1,2166,207.0,-24.0
0,38B,1,7167,91.0,-18.0
0,7,1,415,672.0,-181.0
0,27A,1,629,179.0,-60.0
0,38A,2,4989,2554.0,-26.0
0,7D,2,3535,134.0,-46.0
0,41B,1,18,344.0,-119.0
0,70D,2,16,69.0,-61.0
0,31,1,539,158.0,-44.0
0,25A,2,406,1917.0,-328.0
0,31A,1,516,245.0,-327.0
0,31B,2,682,56.0,-33.0
0,25,2,2233,727.0,-171.0
0,25X,1,7012,68.0,-441.0
0,29A,2,915,1528.0,-125.0
0,84X,2,3145,404.0,-39.0
0,83,1,2491,712.0,-2772.0
0,220,1,1597,125.0,-36.0
0,150,1,2319,646.0,-503.0
0,122,1,1700,2735.0,-147.0
0,7D,1,846,146.0,-106.0
0,16,1,217,287.0,-148.0
0,25,2,1479,333.0,-92.0
0,68A,1,1370,896.0,-25.0
0,44B,2,3517,288.0,-44.0
0,41X,1,4915,155.0,-18.0
0,68,2,1380,234.0,-90.0
0,150,2,1111,260.0,-233.0
0,38,2,7342,251.0,-94.0
0,76A,2,2110,200.0,-148.0
0,67X,1,318,190.0,-579.0
0,31D,1,913,204.0,-143.0
0,118,2,2069,144.0,-86.0
0,31B,1,536,194.0,-20.0
0,66X,2,406,138.0,-176.0
0,61,1,302,3825.0,-371.0
0,77A,1,2103,683.0,-65.0
0,49,1,1122,200.0,-138.0
0,39A,1,1664,578.0,-129.0
0,140,1,6361,1525.0,-227.0
0,66B,1,3955,242.0,-174.0
0,15,1,1085,1049.0,-117.0
0,1,2,223,1340.0,-33.0
0,32,1,544,460.0,-109.0
0,84,2,4678,276.0,-173.0
0,39,1,1662,295.0,-91.0
0,16C,1,262,155.0,-78.0
0,84,1,3082,2276.0,-119.0
0,111,2,2046,483.0,-77.0
0,77X,2,2609,20.0,-110.0
