,Route,Direction,Model,MAE,RMSE
0,41B,1,Linear Regression,21.87990498215419,36.40402291411952
1,41B,2,Linear Regression,25.37883165979169,38.476102857307964
2,41B,1,Decision Tree,0.07064711137467689,0.48419808633981953
3,41B,2,Decision Tree,0.14050228267488116,0.8375517261222409
4,41B,1,Random Forest,12.953475914356252,25.127436429513626
5,41B,2,Random Forest,11.752414066453502,21.93588530561166
0,145,1,Linear Regression,36.022509873842765,54.565119768537166
1,145,2,Linear Regression,37.766497830359555,53.20307049135803
2,145,1,Decision Tree,4.289485225799867,10.844605004148448
3,145,2,Decision Tree,5.363084893765652,13.530902528243788
4,145,1,Random Forest,20.31097911196573,36.94826656173346
5,145,2,Random Forest,19.34082348123606,32.922996123885476
0,79,1,Linear Regression,33.849027489351684,58.51991413976297
1,79,2,Linear Regression,32.741666607555985,53.1796191942722
2,79,1,Decision Tree,1.7327980307484618,5.640417275358377
3,79,2,Decision Tree,2.2105828218385515,7.312733243515057
4,79,1,Random Forest,16.41569262724738,36.81334231542411
5,79,2,Random Forest,16.787416185504863,31.927585550549807
0,16C,1,Linear Regression,18.246349581976297,25.470167351057462
1,16C,2,Linear Regression,15.084660320072018,19.763788414204804
2,16C,1,Decision Tree,0.017908735159374214,0.11856182397793494
3,16C,2,Decision Tree,0.0,0.0
4,16C,1,Random Forest,13.49095996024781,22.049773925471698
5,16C,2,Random Forest,9.174292752309531,13.824295956328514
0,66,1,Linear Regression,32.629494912119384,47.611240586496194
1,66,2,Linear Regression,34.40201579246923,51.41056767328918
2,66,1,Decision Tree,1.5598633746412636,5.709946596268733
3,66,2,Decision Tree,1.3823656245670162,5.446711775897066
4,66,1,Random Forest,15.777068832907862,26.975667993600847
5,66,2,Random Forest,16.607036331981014,29.675561909376622
0,15B,1,Linear Regression,47.84753224197621,75.99018622233982
1,15B,2,Linear Regression,30.301880511432714,46.43330204817881
2,15B,1,Decision Tree,2.548073470316999,11.193183630062373
3,15B,2,Decision Tree,3.049575765601235,9.227163024090974
4,15B,1,Random Forest,21.63656560499083,43.17994425003796
5,15B,2,Random Forest,16.243233479496983,28.66412120491851
0,83,1,Linear Regression,29.196465245010916,46.2526554302975
1,83,2,Linear Regression,26.7897770105346,45.749054338135956
2,83,1,Decision Tree,2.8597288691543117,8.48494402013953
3,83,2,Decision Tree,2.6707755859103015,7.963167710214527
4,83,1,Random Forest,19.724502885804313,33.34256594897045
5,83,2,Random Forest,14.32378661111987,28.354860017717733
0,185,1,Linear Regression,36.523885829475425,57.82446766153215
1,185,2,Linear Regression,23.601566199822983,42.99698285520024
2,185,1,Decision Tree,0.6615586397910238,3.265309108683877
3,185,2,Decision Tree,0.5488867902781167,2.3569355040569433
4,185,1,Random Forest,16.320057608068606,34.08560540326636
5,185,2,Random Forest,17.980591947248126,38.051750219263475
0,26,1,Linear Regression,36.77304031219942,59.35336279033732
